Target Image: blackhole2
Final Best MSE: 1073.98
--------------------------------
Evolutionary History for blackhole2
=========================================
Generation 0 | MSE: 3845.80 | Genotype: 
Layer 6 -> c: -0.331+0.736i | Offset X/Y: 2.76/0.38 | Zoom: 0.10

Generation 39 | MSE: 1729.69 | Genotype: 
Layer 1 -> c: -0.098-1.000i | Offset X/Y: -0.16/0.11 | Zoom: 0.47
Layer 2 -> c: -1.000-1.000i | Offset X/Y: -0.93/0.27 | Zoom: 0.50
Layer 3 -> c: -0.981+1.000i | Offset X/Y: 0.79/0.43 | Zoom: 0.49
Layer 4 -> c: 1.000-0.127i | Offset X/Y: 0.09/-0.88 | Zoom: 1.48
Layer 5 -> c: -0.081-1.000i | Offset X/Y: -0.80/1.19 | Zoom: 0.45
Layer 6 -> c: -0.331+0.736i | Offset X/Y: 2.76/0.38 | Zoom: 0.10

Generation 40 | MSE: 1729.69 | Genotype: 
Layer 1 -> c: -0.098-1.000i | Offset X/Y: -0.16/0.11 | Zoom: 0.47
Layer 2 -> c: -1.000-1.000i | Offset X/Y: -0.93/0.27 | Zoom: 0.50
Layer 3 -> c: -0.981+1.000i | Offset X/Y: 0.79/0.43 | Zoom: 0.49
Layer 4 -> c: 1.000-0.127i | Offset X/Y: 0.09/-0.88 | Zoom: 1.48
Layer 5 -> c: -0.081-1.000i | Offset X/Y: -0.80/1.19 | Zoom: 0.45
Layer 6 -> c: -0.331+0.736i | Offset X/Y: 2.76/0.38 | Zoom: 0.10

Generation 41 | MSE: 1729.69 | Genotype: 
Layer 1 -> c: -0.098-1.000i | Offset X/Y: -0.16/0.11 | Zoom: 0.47
Layer 2 -> c: -1.000-1.000i | Offset X/Y: -0.93/0.27 | Zoom: 0.50
Layer 3 -> c: -0.981+1.000i | Offset X/Y: 0.79/0.43 | Zoom: 0.49
Layer 4 -> c: 1.000-0.127i | Offset X/Y: 0.09/-0.88 | Zoom: 1.48
Layer 5 -> c: -0.081-1.000i | Offset X/Y: -0.80/1.19 | Zoom: 0.45
Layer 6 -> c: -0.331+0.736i | Offset X/Y: 2.76/0.38 | Zoom: 0.10

Generation 42 | MSE: 1729.69 | Genotype: 
Layer 1 -> c: -0.098-1.000i | Offset X/Y: -0.16/0.11 | Zoom: 0.47
Layer 2 -> c: -1.000-1.000i | Offset X/Y: -0.93/0.27 | Zoom: 0.50
Layer 3 -> c: -0.981+1.000i | Offset X/Y: 0.79/0.43 | Zoom: 0.49
Layer 4 -> c: 1.000-0.127i | Offset X/Y: 0.09/-0.88 | Zoom: 1.48
Layer 5 -> c: -0.081-1.000i | Offset X/Y: -0.80/1.19 | Zoom: 0.45
Layer 6 -> c: -0.331+0.736i | Offset X/Y: 2.76/0.38 | Zoom: 0.10

Generation 43 | MSE: 1680.63 | Genotype: 
