Target Image: butterfly_nebula
Final Best MSE: 744.45
--------------------------------
Evolutionary History for butterfly_nebula
=========================================
Generation 0 | MSE: 6546.82 | Genotype: 
Layer 5 -> c: -0.344+1.000i | Offset X/Y: -1.47/1.75 | Zoom: 0.46
Layer 6 -> c: 0.520-0.610i | Offset X/Y: -2.34/1.59 | Zoom: 0.10
Layer 7 -> c: -0.108-0.977i | Offset X/Y: 0.65/-1.48 | Zoom: 0.22
Layer 8 -> c: -0.077+1.000i | Offset X/Y: 1.33/0.65 | Zoom: 0.10

Generation 29 | MSE: 1439.73 | Genotype: 
Layer 1 -> c: -0.637+0.102i | Offset X/Y: 0.42/0.63 | Zoom: 0.10
Layer 2 -> c: -0.751+1.000i | Offset X/Y: -0.67/0.63 | Zoom: 0.54
Layer 3 -> c: -0.861+0.695i | Offset X/Y: 1.59/-1.25 | Zoom: 0.45
Layer 4 -> c: -0.263+0.115i | Offset X/Y: -0.24/-0.70 | Zoom: 0.51
Layer 5 -> c: -0.001+0.347i | Offset X/Y: -0.44/-0.88 | Zoom: 0.10
Layer 6 -> c: -0.052-0.208i | Offset X/Y: -2.34/1.79 | Zoom: 0.38
Layer 7 -> c: -0.024+0.850i | Offset X/Y: 0.44/0.06 | Zoom: 0.42
Layer 8 -> c: -0.295+0.642i | Offset X/Y: -0.98/0.21 | Zoom: 0.31

Generation 30 | MSE: 1439.73 | Genotype: 
Layer 1 -> c: -0.637+0.102i | Offset X/Y: 0.42/0.63 | Zoom: 0.10
Layer 2 -> c: -0.751+1.000i | Offset X/Y: -0.67/0.63 | Zoom: 0.54
Layer 3 -> c: -0.861+0.695i | Offset X/Y: 1.59/-1.25 | Zoom: 0.45
Layer 4 -> c: -0.263+0.115i | Offset X/Y: -0.24/-0.70 | Zoom: 0.51
Layer 5 -> c: -0.001+0.347i | Offset X/Y: -0.44/-0.88 | Zoom: 0.10
Layer 6 -> c: -0.052-0.208i | Offset X/Y: -2.34/1.79 | Zoom: 0.38
Layer 7 -> c: -0.024+0.850i | Offset X/Y: 0.44/0.06 | Zoom: 0.42
Layer 8 -> c: -0.295+0.642i | Offset X/Y: -0.98/0.21 | Zoom: 0.31

Generation 31 | MSE: 1439.73 | Genotype: 
Layer 1 -> c: -0.637+0.102i | Offset X/Y: 0.42/0.63 | Zoom: 0.10
Layer 2 -> c: -0.751+1.000i | Offset X/Y: -0.67/0.63 | Zoom: 0.54
Layer 3 -> c: -0.861+0.695i | Offset X/Y: 1.59/-1.25 | Zoom: 0.45
Layer 4 -> c: -0.263+0.115i | Offset X/Y: -0.24/-0.70 | Zoom: 0.51
Layer 5 -> c: -0.001+0.347i | Offset X/Y: -0.44/-0.88 | Zoom: 0.10
Layer 6 -> c: -0.052-0.208i | Offset X/Y: -2.34/1.79 | Zoom: 0.38
Layer 7 -> c: -0.024+0.850i | Offset X/Y: 0.44/0.06 | Zoom: 0.42
Layer 8 -> c: -0.295+0.642i | Offset X/Y: -0.98/0.21 | Zoom: 0.31

Generation 32 | MSE: 1439.73 | Genotype: 
Layer 1 -> c: -0.637+0.102i | Offset X/Y: 0.42/0.63 | Zoom: 0.10
Layer 2 -> c: -0.751+1.000i | Offset X/Y: -0.67/0.63 | Zoom: 0.54
Layer 3 -> c: -0.861+0.695i | Offset X/Y: 1.59/-1.25 | Zoom: 0.45
Layer 4 -> c: -0.263+0.115i | Offset X/Y: -0.24/-0.70 | Zoom: 0.51
Layer 5 -> c: -0.001+0.347i | Offset X/Y: -0.44/-0.88 | Zoom: 0.10
Layer 6 -> c: -0.052-0.208i | Offset X/Y: -2.34/1.79 | Zoom: 0.38
Layer 7 -> c: -0.024+0.850i | Offset X/Y: 0.44/0.06 | Zoom: 0.42
