Target Image: purple_lightning
Final Best MSE: 1152.86
--------------------------------
Evolutionary History for purple_lightning
=========================================
Generation 0 | MSE: 6319.32 | Genotype: 
Layer 6 -> c: 0.440+0.313i | Offset X/Y: -2.47/-0.83 | Zoom: 0.16
Layer 7 -> c: -0.168+0.635i | Offset X/Y: -0.55/-2.70 | Zoom: 0.10
Layer 8 -> c: -0.393-0.086i | Offset X/Y: -2.07/-1.99 | Zoom: 0.11

Generation 31 | MSE: 2105.75 | Genotype: 
Layer 1 -> c: 0.686-0.684i | Offset X/Y: -1.99/1.59 | Zoom: 0.28
Layer 2 -> c: 0.241-0.442i | Offset X/Y: 1.54/-0.85 | Zoom: 0.34
Layer 3 -> c: -1.000-0.811i | Offset X/Y: -1.23/2.07 | Zoom: 0.86
Layer 4 -> c: -1.000-0.539i | Offset X/Y: -0.23/0.28 | Zoom: 0.10
Layer 5 -> c: -0.458+0.813i | Offset X/Y: 0.04/0.17 | Zoom: 1.53
Layer 6 -> c: 0.440+0.313i | Offset X/Y: -2.47/-0.83 | Zoom: 0.16
Layer 7 -> c: -0.168+0.635i | Offset X/Y: -0.55/-2.70 | Zoom: 0.10
Layer 8 -> c: -0.393-0.086i | Offset X/Y: -2.07/-1.99 | Zoom: 0.11

Generation 32 | MSE: 2105.75 | Genotype: 
Layer 1 -> c: 0.686-0.684i | Offset X/Y: -1.99/1.59 | Zoom: 0.28
Layer 2 -> c: 0.241-0.442i | Offset X/Y: 1.54/-0.85 | Zoom: 0.34
Layer 3 -> c: -1.000-0.811i | Offset X/Y: -1.23/2.07 | Zoom: 0.86
Layer 4 -> c: -1.000-0.539i | Offset X/Y: -0.23/0.28 | Zoom: 0.10
Layer 5 -> c: -0.458+0.813i | Offset X/Y: 0.04/0.17 | Zoom: 1.53
Layer 6 -> c: 0.440+0.313i | Offset X/Y: -2.47/-0.83 | Zoom: 0.16
Layer 7 -> c: -0.168+0.635i | Offset X/Y: -0.55/-2.70 | Zoom: 0.10
