Target Image: blackhole
Final Best MSE: 643.20
--------------------------------
Evolutionary History for blackhole
=========================================
Generation 0 | MSE: 5807.06 | Genotype: 
Layer 2 -> c: -0.129+0.037i | Offset X/Y: -0.15/0.39 | Zoom: 0.35
Layer 3 -> c: -0.074+0.028i | Offset X/Y: -0.45/0.13 | Zoom: 0.62
Layer 4 -> c: -1.000+1.000i | Offset X/Y: 0.07/-0.18 | Zoom: 0.10
Layer 5 -> c: -0.623+0.357i | Offset X/Y: 0.26/0.69 | Zoom: 0.10
Layer 6 -> c: -0.994-0.543i | Offset X/Y: 1.48/-0.46 | Zoom: 0.33

Generation 29 | MSE: 1289.60 | Genotype: 
Layer 1 -> c: -0.783-0.413i | Offset X/Y: -0.41/1.52 | Zoom: 0.10
Layer 2 -> c: -0.129+0.037i | Offset X/Y: -0.15/0.39 | Zoom: 0.35
Layer 3 -> c: -0.074+0.028i | Offset X/Y: -0.45/0.13 | Zoom: 0.62
Layer 4 -> c: -1.000+1.000i | Offset X/Y: 0.07/-0.18 | Zoom: 0.10
Layer 5 -> c: -0.623+0.357i | Offset X/Y: 0.26/0.69 | Zoom: 0.10
Layer 6 -> c: -0.994-0.543i | Offset X/Y: 1.48/-0.46 | Zoom: 0.33

Generation 30 | MSE: 1289.60 | Genotype: 
Layer 1 -> c: -0.783-0.413i | Offset X/Y: -0.41/1.52 | Zoom: 0.10
Layer 2 -> c: -0.129+0.037i | Offset X/Y: -0.15/0.39 | Zoom: 0.35
Layer 3 -> c: -0.074+0.028i | Offset X/Y: -0.45/0.13 | Zoom: 0.62
Layer 4 -> c: -1.000+1.000i | Offset X/Y: 0.07/-0.18 | Zoom: 0.10
Layer 5 -> c: -0.623+0.357i | Offset X/Y: 0.26/0.69 | Zoom: 0.10
Layer 6 -> c: -0.994-0.543i | Offset X/Y: 1.48/-0.46 | Zoom: 0.33

Generation 31 | MSE: 1289.60 | Genotype: 
Layer 1 -> c: -0.783-0.413i | Offset X/Y: -0.41/1.52 | Zoom: 0.10
Layer 2 -> c: -0.129+0.037i | Offset X/Y: -0.15/0.39 | Zoom: 0.35
Layer 3 -> c: -0.074+0.028i | Offset X/Y: -0.45/0.13 | Zoom: 0.62
Layer 4 -> c: -1.000+1.000i | Offset X/Y: 0.07/-0.18 | Zoom: 0.10
Layer 5 -> c: -0.623+0.357i | Offset X/Y: 0.26/0.69 | Zoom: 0.10
Layer 6 -> c: -0.994-0.543i | Offset X/Y: 1.48/-0.46 | Zoom: 0.33

Generation 32 | MSE: 1289.60 | Genotype: 
Layer 1 -> c: -0.783-0.413i | Offset X/Y: -0.41/1.52 | Zoom: 0.10
Layer 2 -> c: -0.129+0.037i | Offset X/Y: -0.15/0.39 | Zoom: 0.35
Layer 3 -> c: -0.074+0.028i | Offset X/Y: -0.45/0.13 | Zoom: 0.62
Layer 4 -> c: -1.000+1.000i | Offset X/Y: 0.07/-0.18 | Zoom: 0.10
Layer 5 -> c: -0.623+0.357i | Offset X/Y: 0.26/0.69 | Zoom: 0.10
Layer 6 -> c: -0.994-0.543i | Offset X/Y: 1.48/-0.46 | Zoom: 0.33

Generation 33 | MSE: 1289.60 | Genotype: 
Layer 1 -> c: -0.783-0.413i | Offset X/Y: -0.41/1.52 | Zoom: 0.10
Layer 2 -> c: -0.129+0.037i | Offset X/Y: -0.15/0.39 | Zoom: 0.35
Layer 3 -> c: -0.074+0.028i | Offset X/Y: -0.45/0.13 | Zoom: 0.62
Layer 4 -> c: -1.000+1.000i | Offset X/Y: 0.07/-0.18 | Zoom: 0.10
Layer 5 -> c: -0.623+0.357i | Offset X/Y: 0.26/0.69 | Zoom: 0.10
Layer 6 -> c: -0.994-0.543i | Offset X/Y: 1.48/-0.46 | Zoom: 0.33

Generation 34 | MSE: 1289.60 | Genotype: 
Layer 1 -> c: -0.783-0.413i | Offset X/Y: -0.41/1.52 | Zoom: 0.10
Layer 2 -> c: -0.129+0.037i | Offset X/Y: -0.15/0.39 | Zoom: 0.35
Layer 3 -> c: -0.074+0.028i | Offset X/Y: -0.45/0.13 | Zoom: 0.62
Layer 4 -> c: -1.000+1.000i | Offset X/Y: 0.07/-0.18 | Zoom: 0.10
Layer 5 -> c: -0.623+0.357i | Offset X/Y: 0.26/0.69 | Zoom: 0.10
Layer 6 -> c: -0.994-0.543i | Offset X/Y: 1.48/-0.46 | Zoom: 0.33

Generation 35 | MSE: 1289.60 | Genotype: 
Layer 1 -> c: -0.783-0.413i | Offset X/Y: -0.41/1.52 | Zoom: 0.10
Layer 2 -> c: -0.129+0.037i | Offset X/Y: -0.15/0.39 | Zoom: 0.35
Layer 3 -> c: -0.074+0.028i | Offset X/Y: -0.45/0.13 | Zoom: 0.62
Layer 4 -> c: -1.000+1.000i | Offset X/Y: 0.07/-0.18 | Zoom: 0.10
Layer 5 -> c: -0.623+0.357i | Offset X/Y: 0.26/0.69 | Zoom: 0.10
Layer 6 -> c: -0.994-0.543i | Offset X/Y: 1.48/-0.46 | Zoom: 0.33

Generation 36 | MSE: 1251.95 | Genotype: 
Layer 1 -> c: -0.599-0.559i | Offset X/Y: -0.41/2.51 | Zoom: 0.26
Layer 2 -> c: -0.093+0.366i | Offset X/Y: -0.15/-0.26 | Zoom: 0.54
Layer 3 -> c: 0.151+0.635i | Offset X/Y: 0.02/-0.26 | Zoom: 0.29
Layer 4 -> c: -1.000+1.000i | Offset X/Y: 2.72/-0.15 | Zoom: 0.19
Layer 5 -> c: -0.546-0.209i | Offset X/Y: 1.01/-1.14 | Zoom: 0.33
Layer 6 -> c: 0.425+0.888i | Offset X/Y: 2.08/-0.16 | Zoom: 0.16

Generation 37 | MSE: 1206.15 | Genotype: 
Layer 1 -> c: -1.000+0.874i | Offset X/Y: 0.33/2.18 | Zoom: 0.19
Layer 2 -> c: -0.076-0.158i | Offset X/Y: -0.13/-0.44 | Zoom: 0.50
Layer 3 -> c: -0.092+0.541i | Offset X/Y: -0.06/0.03 | Zoom: 0.37
Layer 4 -> c: -0.654+0.372i | Offset X/Y: 2.75/-0.24 | Zoom: 0.10
Layer 5 -> c: -1.000-0.164i | Offset X/Y: 0.04/-0.73 | Zoom: 0.12
Layer 6 -> c: 1.000-0.931i | Offset X/Y: 2.11/-0.75 | Zoom: 0.19

Generation 38 | MSE: 1177.35 | Genotype: 
Layer 1 -> c: -0.594+0.315i | Offset X/Y: -0.85/2.51 | Zoom: 0.22
Layer 2 -> c: 0.044-0.474i | Offset X/Y: 0.00/-0.43 | Zoom: 0.46
Layer 3 -> c: -0.130+0.028i | Offset X/Y: 0.05/-0.15 | Zoom: 0.61
Layer 4 -> c: -1.000+1.000i | Offset X/Y: 2.11/0.02 | Zoom: 0.23
Layer 5 -> c: -0.238+0.030i | Offset X/Y: -0.23/-0.54 | Zoom: 0.10
Layer 6 -> c: -0.463-0.753i | Offset X/Y: 0.76/-0.23 | Zoom: 0.23

Generation 39 | MSE: 1177.35 | Genotype: 
Layer 1 -> c: -0.594+0.315i | Offset X/Y: -0.85/2.51 | Zoom: 0.22
