Target Image: helix_nebula
Final Best MSE: 338.06
--------------------------------
Evolutionary History for helix_nebula
=========================================
Generation 0 | MSE: 3269.90 | Genotype: 
Layer 2 -> c: -0.564+0.112i | Offset X/Y: -0.08/-0.07 | Zoom: 0.44
Layer 3 -> c: -0.365+0.676i | Offset X/Y: 0.85/-0.35 | Zoom: 0.34
Layer 4 -> c: -0.754+0.877i | Offset X/Y: -0.18/-0.19 | Zoom: 0.79
Layer 5 -> c: 0.621-0.375i | Offset X/Y: -0.18/-0.23 | Zoom: 0.40
Layer 6 -> c: 0.229-0.167i | Offset X/Y: -0.32/-0.40 | Zoom: 0.10

Generation 29 | MSE: 723.79 | Genotype: 
Layer 1 -> c: 0.221-1.000i | Offset X/Y: 0.23/-0.08 | Zoom: 0.51
Layer 2 -> c: -0.564+0.112i | Offset X/Y: -0.08/-0.07 | Zoom: 0.44
Layer 3 -> c: -0.365+0.676i | Offset X/Y: 0.85/-0.35 | Zoom: 0.34
Layer 4 -> c: -0.754+0.877i | Offset X/Y: -0.18/-0.19 | Zoom: 0.79
Layer 5 -> c: 0.621-0.375i | Offset X/Y: -0.18/-0.23 | Zoom: 0.40
Layer 6 -> c: 0.229-0.167i | Offset X/Y: -0.32/-0.40 | Zoom: 0.10

Generation 30 | MSE: 723.79 | Genotype: 
Layer 1 -> c: 0.221-1.000i | Offset X/Y: 0.23/-0.08 | Zoom: 0.51
Layer 2 -> c: -0.564+0.112i | Offset X/Y: -0.08/-0.07 | Zoom: 0.44
Layer 3 -> c: -0.365+0.676i | Offset X/Y: 0.85/-0.35 | Zoom: 0.34
Layer 4 -> c: -0.754+0.877i | Offset X/Y: -0.18/-0.19 | Zoom: 0.79
Layer 5 -> c: 0.621-0.375i | Offset X/Y: -0.18/-0.23 | Zoom: 0.40
Layer 6 -> c: 0.229-0.167i | Offset X/Y: -0.32/-0.40 | Zoom: 0.10

Generation 31 | MSE: 723.79 | Genotype: 
Layer 1 -> c: 0.221-1.000i | Offset X/Y: 0.23/-0.08 | Zoom: 0.51
Layer 2 -> c: -0.564+0.112i | Offset X/Y: -0.08/-0.07 | Zoom: 0.44
Layer 3 -> c: -0.365+0.676i | Offset X/Y: 0.85/-0.35 | Zoom: 0.34
Layer 4 -> c: -0.754+0.877i | Offset X/Y: -0.18/-0.19 | Zoom: 0.79
Layer 5 -> c: 0.621-0.375i | Offset X/Y: -0.18/-0.23 | Zoom: 0.40
Layer 6 -> c: 0.229-0.167i | Offset X/Y: -0.32/-0.40 | Zoom: 0.10

Generation 32 | MSE: 723.79 | Genotype: 
Layer 1 -> c: 0.221-1.000i | Offset X/Y: 0.23/-0.08 | Zoom: 0.51
Layer 2 -> c: -0.564+0.112i | Offset X/Y: -0.08/-0.07 | Zoom: 0.44
